name,planet_status,mass,radius,orbital_period,angular_distance,discovered,temp_measured,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_mass,star_radius,star_age,star_alternate_names
Kepler-105 c,Confirmed,0.01447,0.117,7.1262,,2014,,Announced on a website,Primary Transit,TTV,Primary Transit,"2MASS J19113295+4616344 c, K00115.02, KIC 9579641 c, KOI-115 c, KOI-115.02, WISE J191132.93+461634.0  c",Kepler-105,287.887325,46.276237,,,11.811,11.555,11.503,465.33,0.96,0.89,,"KOI-115, 2MASS J19113295+4616344, KIC 9579641, WISE J191132.93+461634.0"
Kepler-107 e,Confirmed,0.02706,0.259,14.749143,,2014,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,"KOI-117.01, 2MASS J19480677+4812309 e, K00117.01, KIC 10875245 e, KOI-117 e, WISE J194806.77+481230.9  e",Kepler-107,297.028248,48.208611,,,11.392,11.114,11.06,525.5,1.24,1.45,4.29,"2MASS J19480677+4812309, KIC 10875245, KOI-117, WISE J194806.77+481230.9"
Kepler-107 b,Confirmed,0.01104,0.137,3.1800218,,2014,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,"KOI-117.03, 2MASS J19480677+4812309 b, K00117.03, KIC 10875245 b, KOI-117 b, WISE J194806.77+481230.9  b",Kepler-107,297.028248,48.208611,,,11.392,11.114,11.06,525.5,1.24,1.45,4.29,"2MASS J19480677+4812309, KIC 10875245, KOI-117, WISE J194806.77+481230.9"
Kepler-107 c,Confirmed,0.02954,0.142,4.901452,,2014,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,"KOI-117.02, 2MASS J19480677+4812309 c, K00117.02, KIC 10875245 c, KOI-117 c, WISE J194806.77+481230.9  c",Kepler-107,297.028248,48.208611,,,11.392,11.114,11.06,525.5,1.24,1.45,4.29,"2MASS J19480677+4812309, KIC 10875245, KOI-117, WISE J194806.77+481230.9"
Kepler-107 d,Confirmed,0.01196,0.077,7.95839,,2014,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,"KOI-117.04, 2MASS J19480677+4812309 d, K00117.04, KIC 10875245 d, KOI-117 d, WISE J194806.77+481230.9  d",Kepler-107,297.028248,48.208611,,,11.392,11.114,11.06,525.5,1.24,1.45,4.29,"2MASS J19480677+4812309, KIC 10875245, KOI-117, WISE J194806.77+481230.9"
Kepler-11 b,Confirmed,0.006,0.161,10.3039,,2010,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 b, K00157.06, KIC 6541920 b, KOI-157 b, KOI-157.06, WISE J194827.62+415432.9  b",Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,0.96,1.06,8.5,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-11 g,Confirmed,0.079,0.297,118.3807,,2010,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 g, K00157.05, KIC 6541920 g, KOI-157 g, KOI-157.05, WISE J194827.62+415432.9  g",Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,0.96,1.06,8.5,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-11 c,Confirmed,0.009,0.256,13.0241,,2010,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 c, K00157.01, KIC 6541920 c, KOI-157 c, KOI-157.01, WISE J194827.62+415432.9  c",Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,0.96,1.06,8.5,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-11 d,Confirmed,0.023,0.278,22.6845,,2010,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 d, K00157.02, KIC 6541920 d, KOI-157 d, KOI-157.02, WISE J194827.62+415432.9  d",Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,0.96,1.06,8.5,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-11 e,Confirmed,0.025,0.374,31.9996,,2010,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 e, K00157.03, KIC 6541920 e, KOI-157 e, KOI-157.03, WISE J194827.62+415432.9  e",Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,0.96,1.06,8.5,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-11 f,Confirmed,0.006,0.222,46.6888,,2010,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 f, K00157.04, KIC 6541920 f, KOI-157 f, KOI-157.04, WISE J194827.62+415432.9  f",Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,0.96,1.06,8.5,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-114 d,Confirmed,0.012,0.226,11.776,,2013,,Published in a refereed paper,Primary Transit,,,"2MASS J19362914+4820582 d, K00156.03, KIC 10925104 d, KOI-156 d, KOI-156.03, WISE J193629.11+482058.9  d",Kepler-114,294.121421,48.349525,13.7,,12.035,11.469,,261.49,0.71,0.67,,"2MASS J19362914+4820582, KIC 10925104, KOI-156, WISE J193629.11+482058.9"
Kepler-114 b,Confirmed,0.022,0.112,5.188549,,2014,,Published in a refereed paper,Primary Transit,,,"2MASS J19362914+4820582 b, K00156.02, KIC 10925104 b, KOI-156 b, KOI-156.02, WISE J193629.11+482058.9  b",Kepler-114,294.121421,48.349525,13.7,,12.035,11.469,,261.49,0.71,0.67,,"2MASS J19362914+4820582, KIC 10925104, KOI-156, WISE J193629.11+482058.9"
Kepler-114 c,Confirmed,0.009,0.143,8.041,,2013,,Published in a refereed paper,Primary Transit,TTV,,"2MASS J19362914+4820582 c, K00156.01, KIC 10925104 c, KOI-156 c, KOI-156.01, WISE J193629.11+482058.9  c",Kepler-114,294.121421,48.349525,13.7,,12.035,11.469,,261.49,0.71,0.67,,"2MASS J19362914+4820582, KIC 10925104, KOI-156, WISE J193629.11+482058.9"
Kepler-117 b,Confirmed,0.094,0.719,18.7959228,,2014,,Announced on a website,Primary Transit,,,"2MASS J19151032+4802248 b, K00209.02, KIC 10723750 b, KOI-209 b, KOI-209.02, WISE J191510.33+480224.6  b",Kepler-117,288.793037,48.040234,,,13.324,12.988,13.011,1430.0,1.13,1.61,5.3,"2MASS J19151032+4802248, KIC 10723750, KOI-209, WISE J191510.33+480224.6"
Kepler-117 c,Confirmed,1.84,1.101,50.790391,,2014,,Announced on a website,Primary Transit,,,"2MASS J19151032+4802248 c, K00209.01, KIC 10723750 c, KOI-209 c, KOI-209.01, WISE J191510.33+480224.6  c",Kepler-117,288.793037,48.040234,,,13.324,12.988,13.011,1430.0,1.13,1.61,5.3,"2MASS J19151032+4802248, KIC 10723750, KOI-209, WISE J191510.33+480224.6"
Kepler-12 b,Confirmed,0.432,1.754,4.4379629,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19045842+5002253 b, GSC 03549-00844 b, K00020.01, KIC 11804465 b, KOI-20 b, KOI-20.01, WISE J190458.41+500225.3  b",Kepler-12,286.243425,50.040382,13.4,,12.406,12.107,,904.4,1.17,1.48,4.0,"KOI-20, KIC 11804465, 2MASS J19045842+5002253, GSC 03549-00844, WISE J190458.41+500225.3"
Kepler-138 b,Confirmed,0.00021,0.047,10.3126,,2014,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"KOI-314.03, K000314.03, KOI-314b, 2MASS J19213157+4317347 b, K00314.03, KIC 7603200 b, WISE J192131.55+431734.9  b",Kepler-138,290.381547,43.292973,,,10.293,9.68,9.506,66.99,0.52,0.44,,"KOI-314, 2MASS J19213157+4317347, KIC 7603200, WISE J192131.55+431734.9"
Kepler-15 b,Confirmed,0.66,0.96,4.942782,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19444814+4908244 b, K00128.01, KIC 11359879 b, KOI-128 b, KOI-128.01, WISE J194448.21+490824.1  b",Kepler-15,296.200595,49.140125,13.8,,12.578,12.282,,755.38,1.02,0.99,3.7,"2MASS J19444814+4908244, KIC 11359879, KOI-128, WISE J194448.21+490824.1"
Kepler-1514 b,Confirmed,5.28,1.108,217.83184,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19303059+3751364 b, K03681.01, KIC 2581316 b, KOI-3681 b, KOI-3681.01, TIC 137685450 b, TYC 3135-497-1 b, WISE J193030.59+375136.5 b",Kepler-1514,292.627466,37.860133,,,10.953,10.728,10.688,389.3,1.2,1.29,2.9,"2MASS J19303059+3751364, KIC 2581316, KOI-3681, TIC 137685450, TYC 3135-497-1, WISE J193030.59+375136.5"
Kepler-1654 b,Confirmed,0.5,0.819,1047.8356,,2018,,Published in a refereed paper,Primary Transit,,Primary Transit,"2MASS J18484459+4426041 b, KIC 8410697 b, WISE J184844.57+442604.1 b",Kepler-1654,282.185812,44.434486,,,12.281,11.934,,577.6,1.01,1.18,5.0,"2MASS J18484459+4426041, KIC 8410697, WISE J184844.57+442604.1"
Kepler-1655 b,Confirmed,0.01573,0.197,11.8728787,,2018,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19064546+3912428 b, K00280.01, KIC 4141376 b, KOI-280 b, KOI-280.01, WISE J190645.48+391243.3 b",Kepler-1655,286.689452,39.211929,11.05,,10.065,9.849,,214.58,1.03,1.03,2.56,"2MASS J19064546+3912428, KIC 4141376, KOI-280, WISE J190645.48+391243.3"
Kepler-1656 b,Confirmed,0.1504,0.448,31.562,,2018,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J18575331+3954425 b, K00367.01, KIC 4815520 b, KOI-367 b, KOI-367.01, WISE J185753.33+395442.7 b",Kepler-1656,284.472168,39.911824,11.6,,10.046,9.715,,186.88,1.03,1.1,6.31,"KOI-367, KIC-4815520, 2MASS J18575331+3954425, KIC 4815520, WISE J185753.33+395442.7"
Kepler-1658 b,Confirmed,5.88,1.07,3.84937278,,2019,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19372557+3856505 b, K00004.01, KIC 3861595 b, TYC 3135-652-1 b, WISE J193725.57+385650.4 b, KOI-4",Kepler-1658,294.356546,38.947376,11.0,,10.475,10.266,,806.07,1.45,2.89,,"2MASS J19372557+3856505, KIC 3861595, KOI-4, TYC 3135-652-1, WISE J193725.57+385650.4"
Kepler-167 e,Confirmed,4.0,0.906,1071.23228,,2016,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"2MASS J19303802+3820434 e, K00490.02, KIC 3239945 e, KOI-490 e, KOI-490.02, Kepler-167 A e, WISE J193038.04+382043.8 e",Kepler-167,292.658441,38.345413,,,12.446,11.974,11.832,330.0,0.77,0.73,3.3,"2MASS J19303802+3820434, KIC 3239945, KOI-490, Kepler-167 A, WISE J193038.04+382043.8"
Kepler-167 d,Confirmed,0.006,0.107,21.803855,,2016,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"2MASS J19303802+3820434 d, K00490.04, KIC 3239945 d, KOI-490 d, KOI-490.04, Kepler-167 A d, WISE J193038.04+382043.8 d",Kepler-167,292.658441,38.345413,,,12.446,11.974,11.832,330.0,0.77,0.73,3.3,"2MASS J19303802+3820434, KIC 3239945, KOI-490, Kepler-167 A, WISE J193038.04+382043.8"
Kepler-17 b,Confirmed,2.45,1.31,1.4857108,3.2e-05,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19533486+4748540 b, K00203.01, KIC 10619192 b, KOI-203 b, KOI-203.01, WISE J195334.86+474853.9  b",Kepler-17,298.395274,47.815006,14.0,,12.992,12.67,,800.0,1.16,1.05,1.78,"2MASS J19533486+4748540, KIC 10619192, KOI-203, WISE J195334.86+474853.9"
Kepler-1705 c,Confirmed,0.01705,0.1829,11.28,,2017,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,KOI-4772 c,Kepler-1705,301.57855,44.31218,,15.279,14.21,13.868,13.735,,0.838,0.768,,KOI-4772
Kepler-1705 b,Confirmed,0.01406,0.1811,9.03502,,2017,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,KOI-4772 b,Kepler-1705,301.57855,44.31218,,15.279,14.21,13.868,13.735,,0.838,0.768,,KOI-4772
Kepler-18 d,Confirmed,0.052,0.623,14.85888,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19521906+4444467 d, GSC 03149-02089 d, K00137.02, KIC 8644288 d, KOI-137 d, KOI-137.02, WISE J195219.06+444446.6  d",Kepler-18,298.079439,44.746321,14.0,,12.189,11.873,,438.51,0.97,1.11,10.0,"2MASS J19521906+4444467, GSC 03149-02089, KIC 8644288, KOI-137, WISE J195219.06+444446.6"
Kepler-18 b,Confirmed,0.022,0.178,3.504725,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19521906+4444467 b, GSC 03149-02089 b, K00137.03, KIC 8644288 b, KOI-137 b, KOI-137.03, WISE J195219.06+444446.6  b",Kepler-18,298.079439,44.746321,14.0,,12.189,11.873,,438.51,0.97,1.11,10.0,"2MASS J19521906+4444467, GSC 03149-02089, KIC 8644288, KOI-137, WISE J195219.06+444446.6"
Kepler-18 c,Confirmed,0.054,0.49,7.64159,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19521906+4444467 c, GSC 03149-02089 c, K00137.01, KIC 8644288 c, KOI-137 c, KOI-137.01, WISE J195219.06+444446.6  c",Kepler-18,298.079439,44.746321,14.0,,12.189,11.873,,438.51,0.97,1.11,10.0,"2MASS J19521906+4444467, GSC 03149-02089, KIC 8644288, KOI-137, WISE J195219.06+444446.6"
Kepler-19 b,Confirmed,0.02643,0.198,9.28716,,2011,,Published in a refereed paper,Primary Transit,TTV,,"2MASS J19214099+3751064 b, GSC 03134-01549 b, K00084.01, KIC 2571238 b, KOI-84 b, KOI-84.01, TYC 3134-01549-1 b, WISE J192141.02+375106.1  b",Kepler-19,290.420839,37.851786,12.0,,10.719,10.375,,219.95,0.94,0.86,1.9,"2MASS J19214099+3751064, GSC 03134-01549, KIC 2571238, KOI-84, TYC 3134-01549-1, WISE J192141.02+375106.1"
Kepler-20 c,Confirmed,0.04012,0.272,10.85409089,0.000321,2011,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19104752+4220194 c, K00070.01, KIC 6850504 c, KOI-70 c, KOI-70.01, Kepler-20 A c, WISE J191047.52+422019.0  c",Kepler-20,287.698004,42.338726,12.5,,11.252,10.91,,284.88,0.95,0.96,7.6,"2MASS J19104752+4220194, KIC 6850504, KOI-70, Kepler-20 A, WISE J191047.52+422019.0"
Kepler-20 f,Confirmed,0.045,0.089,19.57758478,0.000379,2011,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19104752+4220194 f, K00070.05, KIC 6850504 f, KOI-70 f, KOI-70.05, Kepler-20 A f, WISE J191047.52+422019.0  f",Kepler-20,287.698004,42.338726,12.5,,11.252,10.91,,284.88,0.95,0.96,7.6,"2MASS J19104752+4220194, KIC 6850504, KOI-70, Kepler-20 A, WISE J191047.52+422019.0"
Kepler-20 b,Confirmed,0.03052,0.167,3.69611525,0.000156,2011,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19104752+4220194 b, K00070.02, KIC 6850504 b, KOI-70 b, KOI-70.02, Kepler-20 A b, WISE J191047.52+422019.0  b",Kepler-20,287.698004,42.338726,12.5,,11.252,10.91,,284.88,0.95,0.96,7.6,"2MASS J19104752+4220194, KIC 6850504, KOI-70, Kepler-20 A, WISE J191047.52+422019.0"
Kepler-20 e,Confirmed,0.0097,0.077,6.09852281,0.000175,2011,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19104752+4220194 e, K00070.04, KIC 6850504 e, KOI-70 e, KOI-70.04, Kepler-20 A e, WISE J191047.52+422019.0  e",Kepler-20,287.698004,42.338726,12.5,,11.252,10.91,,284.88,0.95,0.96,7.6,"2MASS J19104752+4220194, KIC 6850504, KOI-70, Kepler-20 A, WISE J191047.52+422019.0"
Kepler-20 d,Confirmed,0.03168,0.245,77.61130017,0.001191,2011,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19104752+4220194 d, K00070.03, KIC 6850504 d, KOI-70 d, KOI-70.03, Kepler-20 A d, WISE J191047.52+422019.0  d",Kepler-20,287.698004,42.338726,12.5,,11.252,10.91,,284.88,0.95,0.96,7.6,"2MASS J19104752+4220194, KIC 6850504, KOI-70, Kepler-20 A, WISE J191047.52+422019.0"
Kepler-21 b,Confirmed,0.01598,0.146,2.78578,0.000394,2012,,Announced on a professional conference,Primary Transit,,Primary Transit,"Kepler-21 b, 2MASS J19092683+3842505 b, BD+38 3455 b, HD 179070 b, HIP 94112 b, K00975.01, KIC 3632418 b, KOI-975 b, KOI-975.01, Kepler-21 A b, SAO 67891 b, TYC 3120-00963-1 b, WISE J190926.86+384250.7  b",Kepler-21,287.361816,38.714016,8.27,,7.229,7.031,,108.86,1.41,1.9,3.03,"Kepler-21, 2MASS J19092683+3842505, BD+38 3455, HD 179070, HIP 94112, KIC 3632418, KOI-975, Kepler-21 A, SAO 67891, TYC 3120-00963-1, WISE J190926.86+384250.7"
Kepler-22 b,Confirmed,0.113,0.212,289.8623,0.004468,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19165219+4753040 b, K00087.01, KIC 10593626 b, KOI-87 b, KOI-87.01, WISE J191652.14+475303.2  b",Kepler-22,289.217484,47.884464,12.0,,10.523,10.211,,190.0,0.97,0.98,,"2MASS J19165219+4753040, KIC 10593626, KOI-87, WISE J191652.14+475303.2"
Kepler-223 d,Confirmed,0.02517,0.467,14.78869,,2014,,Announced on a website,Primary Transit,,,"2MASS J19531640+4716461 d, K00730.01, KIC 10227020 d, KOI-730 d, KOI-730.01, WISE J195316.39+471645.8  d",Kepler-223,298.318356,47.279495,,,14.095,13.727,13.633,1960.49,1.12,1.72,,"2MASS J19531640+4716461, KIC 10227020, KOI-730, WISE J195316.39+471645.8"
Kepler-223 e,Confirmed,0.0151,0.41,19.72567,,2014,,Announced on a website,Primary Transit,,,"2MASS J19531640+4716461 e, K00730.03, KIC 10227020 e, KOI-730 e, KOI-730.03, WISE J195316.39+471645.8  e",Kepler-223,298.318356,47.279495,,,14.095,13.727,13.633,1960.49,1.12,1.72,,"2MASS J19531640+4716461, KIC 10227020, KOI-730, WISE J195316.39+471645.8"
Kepler-223 b,Confirmed,0.02328,0.267,7.38449,,2014,,Announced on a website,Primary Transit,,,"2MASS J19531640+4716461 b, K00730.04, KIC 10227020 b, KOI-730 b, KOI-730.04, WISE J195316.39+471645.8  b",Kepler-223,298.318356,47.279495,,,14.095,13.727,13.633,1960.49,1.12,1.72,,"2MASS J19531640+4716461, KIC 10227020, KOI-730, WISE J195316.39+471645.8"
Kepler-223 c,Confirmed,0.01605,0.307,9.84564,,2014,,Announced on a website,Primary Transit,,,"2MASS J19531640+4716461 c, K00730.02, KIC 10227020 c, KOI-730 c, KOI-730.02, WISE J195316.39+471645.8  c",Kepler-223,298.318356,47.279495,,,14.095,13.727,13.633,1960.49,1.12,1.72,,"2MASS J19531640+4716461, KIC 10227020, KOI-730, WISE J195316.39+471645.8"
Kepler-23 c,Confirmed,2.7,0.285,10.7421,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19365254+4928452 c, GSC 03564-01806 c, K00168.01, KIC 11512246 c, KOI-168 c, KOI-168.01, WISE J193652.53+492845.3  c",Kepler-23,294.218924,49.479225,14.0,,12.353,12.047,,856.34,1.11,1.55,,"2MASS J19365254+4928452, GSC 03564-01806, KIC 11512246, KOI-168, WISE J193652.53+492845.3"
Kepler-23 d,Confirmed,0.055,0.196,15.274299,,2014,,Published in a refereed paper,Primary Transit,,,"2MASS J19365254+4928452 d, K00168.02, KIC 11512246 d, KOI-168 d, KOI-168.02, WISE J193652.53+492845.3  d",Kepler-23,294.218924,49.479225,14.0,,12.353,12.047,,856.34,1.11,1.55,,"2MASS J19365254+4928452, GSC 03564-01806, KIC 11512246, KOI-168, WISE J193652.53+492845.3"
Kepler-23 b,Confirmed,0.8,0.17,7.1073,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19365254+4928452 b, GSC 03564-01806 b, K00168.03, KIC 11512246 b, KOI-168 b, KOI-168.03, WISE J193652.53+492845.3  b",Kepler-23,294.218924,49.479225,14.0,,12.353,12.047,,856.34,1.11,1.55,,"2MASS J19365254+4928452, GSC 03564-01806, KIC 11512246, KOI-168, WISE J193652.53+492845.3"
Kepler-24 c,Confirmed,1.6,0.25,12.3335,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19213918+3820375 c, K01102.01, KIC 3231341 c, KOI-1102 c, KOI-1102.01, WISE J192139.17+382037.3  c",Kepler-24,290.413267,38.343754,15.5,,13.763,13.445,,1195.99,1.03,1.29,,"2MASS J19213918+3820375, KIC 3231341, KOI-1102, WISE J192139.17+382037.3"
Kepler-24 b,Confirmed,1.6,0.214,8.1453,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19213918+3820375 b, K01102.02, KIC 3231341 b, KOI-1102 b, KOI-1102.02, WISE J192139.17+382037.3  b",Kepler-24,290.413267,38.343754,15.5,,13.763,13.445,,1195.99,1.03,1.29,,"2MASS J19213918+3820375, KIC 3231341, KOI-1102, WISE J192139.17+382037.3"
Kepler-25 c,Confirmed,0.0479,0.465,12.7207,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19063321+3929164 c, GSC 03124-01264 c, K00244.01, KIC 4349452 c, KOI-244 c, KOI-244.01, Kepler-25 A c, TYC 3124-01264-1 c, WISE J190633.20+392916.5  c",Kepler-25,286.638393,39.487894,11.0,,9.764,9.532,,244.96,1.19,1.31,11.0,"2MASS J19063321+3929164, GSC 03124-01264, KIC 4349452, KOI-244, Kepler-25 A, TYC 3124-01264-1, WISE J190633.20+392916.5"
Kepler-25 b,Confirmed,0.0275,0.245,6.238297,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19063321+3929164 b, GSC 03124-01264 b, K00244.02, KIC 4349452 b, KOI-244 b, KOI-244.02, Kepler-25 A b, TYC 3124-01264-1 b, WISE J190633.20+392916.5  b",Kepler-25,286.638393,39.487894,11.0,,9.764,9.532,,244.96,1.19,1.31,11.0,"2MASS J19063321+3929164, GSC 03124-01264, KIC 4349452, KOI-244, Kepler-25 A, TYC 3124-01264-1, WISE J190633.20+392916.5"
Kepler-26 b,Confirmed,0.01611,0.248,12.28,,2011,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J18594583+4633595 b, K00250.01, KIC 9757613 b, KOI-250 b, KOI-250.01, WISE J185945.85+463359.3  b",Kepler-26,284.940997,46.56654,16.0,,13.408,12.746,,338.55,0.54,0.51,,"2MASS J18594583+4633595, KIC 9757613, KOI-250, WISE J185945.85+463359.3"
Kepler-26 c,Confirmed,0.01951,0.243,17.2559,,2011,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J18594583+4633595 c, K00250.02, KIC 9757613 c, KOI-250 c, KOI-250.02, WISE J185945.85+463359.3  c",Kepler-26,284.940997,46.56654,16.0,,13.408,12.746,,338.55,0.54,0.51,,"2MASS J18594583+4633595, KIC 9757613, KOI-250, WISE J185945.85+463359.3"
Kepler-27 b,Confirmed,9.11,0.357,15.3348,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19285682+4105091 b, K00841.01, KIC 5792202 b, KOI-841 b, KOI-841.01, WISE J192856.85+410509.3  b",Kepler-27,292.236769,41.085876,,,14.484,14.026,,1075.1,0.65,0.59,,"2MASS J19285682+4105091, KIC 5792202, KOI-841, WISE J192856.85+410509.3"
Kepler-27 c,Confirmed,13.8,0.437,31.3309,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19285682+4105091 c, K00841.02, KIC 5792202 c, KOI-841 c, KOI-841.02, WISE J192856.85+410509.3  c",Kepler-27,292.236769,41.085876,,,14.484,14.026,,1075.1,0.65,0.59,,"2MASS J19285682+4105091, KIC 5792202, KOI-841, WISE J192856.85+410509.3"
Kepler-279 c,Confirmed,0.155,0.384,35.736,,2013,,Published in a refereed paper,Primary Transit,,,"2MASS J19093389+4211414 c, K01236.01, KIC 6677841 c, KOI-1236 c, KOI-1236.01, WISE J190933.89+421141.3  c",Kepler-279,287.391224,42.194836,13.7,,12.724,12.509,,1069.2,1.23,1.75,,"2MASS J19093389+4211414, KIC 6677841, KOI-1236, WISE J190933.89+421141.3"
Kepler-279 d,Confirmed,0.118,0.277,54.414,,2013,,Published in a refereed paper,Primary Transit,,,"2MASS J19093389+4211414 d, K01236.03, KIC 6677841 d, KOI-1236 d, KOI-1236.03, WISE J190933.89+421141.3  d",Kepler-279,287.391224,42.194836,13.7,,12.724,12.509,,1069.2,1.23,1.75,,"2MASS J19093389+4211414, KIC 6677841, KOI-1236, WISE J190933.89+421141.3"
Kepler-28 b,Confirmed,1.51,0.321,5.9123,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19283288+4225459 b, K00870.01, KIC 6949607 b, KOI-870 b, KOI-870.01, WISE J192832.88+422546.0  b",Kepler-28,292.137029,42.42942,15.5,,13.334,12.767,,443.92,0.75,0.7,,"2MASS J19283288+4225459, KIC 6949607, KOI-870, WISE J192832.88+422546.0"
Kepler-28 c,Confirmed,1.36,0.303,8.9858,,2011,,Published in a refereed paper,Primary Transit,,,"2MASS J19283288+4225459 c, K00870.02, KIC 6949607 c, KOI-870 c, KOI-870.02, WISE J192832.88+422546.0  c",Kepler-28,292.137029,42.42942,15.5,,13.334,12.767,,443.92,0.75,0.7,,"2MASS J19283288+4225459, KIC 6949607, KOI-870, WISE J192832.88+422546.0"
Kepler-289 c,Confirmed,0.42,1.034,125.8518,,2014,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,"PH3 c, 2MASS J19495168+4252582 c, K01353.01, KIC 7303287 c, KOI-1353 c, KOI-1353.01, WISE J194951.68+425258.2  c",Kepler-289,297.465344,42.88285,12.9,,12.861,12.596,,700.0,1.08,1.0,0.65,"PH3, 2MASS J19495168+4252582, KIC 7303287, KOI-1353, WISE J194951.68+425258.2"
Kepler-289 b,Confirmed,0.023,0.192,34.545,,2014,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,"PH3 b, 2MASS J19495168+4252582 b, K01353.02, KIC 7303287 b, KOI-1353 b, KOI-1353.02, WISE J194951.68+425258.2  b",Kepler-289,297.465344,42.88285,12.9,,12.861,12.596,,700.0,1.08,1.0,0.65,"PH3, 2MASS J19495168+4252582, KIC 7303287, KOI-1353, WISE J194951.68+425258.2"
Kepler-289 d,Confirmed,0.013,0.239,66.0634,,2014,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"PH3 d, 2MASS J19495168+4252582 d, KIC 7303287 d, KOI-1353 d, WISE J194951.68+425258.2 d",Kepler-289,297.465344,42.88285,12.9,,12.861,12.596,,700.0,1.08,1.0,0.65,"PH3, 2MASS J19495168+4252582, KIC 7303287, KOI-1353, WISE J194951.68+425258.2"
Kepler-29 b,Confirmed,0.01573,0.227,10.33974,,2011,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"2MASS J19532359+4729284 b, K00738.01, KIC 10358759 b, KOI-738 b, KOI-738.01, WISE J195323.60+472928.3  b",Kepler-29,298.348324,47.491226,15.5,,14.131,13.673,,851.9,0.76,0.73,,"2MASS J19532359+4729284, KIC 10358759, KOI-738, WISE J195323.60+472928.3"
