name,planet_status,mass,radius,orbital_period,angular_distance,discovered,temp_measured,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_mass,star_radius,star_age,star_alternate_names
K2-32 c,Confirmed,0.0255,0.244,20.66186,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-32 c, 2MASS J16494226-1932340 c, EPIC 205071984 A c, EPIC 205071984 c, EPIC 205071984.03, K2-32 A c, WISE J164942.25-193234.6 c",K2-32,252.426086,-19.542822,12.31,,10.404,9.993,,158.39,0.86,0.84,,"EPIC 205071984, 2MASS J16494226-1932340, EPIC 205071984 A, K2-32 A, WISE J164942.25-193234.6"
K2-32 d,Confirmed,0.0211,0.292,31.7142,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-32 d, 2MASS J16494226-1932340 d, EPIC 205071984 A d, EPIC 205071984 d, EPIC 205071984.02, K2-32 A d, WISE J164942.25-193234.6 d",K2-32,252.426086,-19.542822,12.31,,10.404,9.993,,158.39,0.86,0.84,,"EPIC 205071984, 2MASS J16494226-1932340, EPIC 205071984 A, K2-32 A, WISE J164942.25-193234.6"
K2-32 e,Confirmed,0.0066,0.09,4.34882,,2019,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J16494226-1932340 e, EPIC 205071984 A e, EPIC 205071984 e, EPIC 205071984.04, K2-32 A e, WISE J164942.25-193234.6 e",K2-32,252.426086,-19.542822,12.31,,10.404,9.993,,158.39,0.86,0.84,,"EPIC 205071984, 2MASS J16494226-1932340, EPIC 205071984 A, K2-32 A, WISE J164942.25-193234.6"
K2-32 b,Confirmed,0.047,0.443,8.991828,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-32 b, 2MASS J16494226-1932340 b, EPIC 205071984 A b, EPIC 205071984 b, EPIC 205071984.01, K2-32 A b, WISE J164942.25-193234.6 b",K2-32,252.426086,-19.542822,12.31,,10.404,9.993,,158.39,0.86,0.84,,"EPIC 205071984, 2MASS J16494226-1932340, EPIC 205071984 A, K2-32 A, WISE J164942.25-193234.6"
K2-33 b,Confirmed,3.7,0.45,5.424865,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 205117205 b, 2MASS J16101473-1919095 b, EPIC 205117205.01, WISE J161014.73-191909.6 b",K2-33,242.561401,-19.319273,16.0,,11.095,10.332,,139.8,0.56,1.05,0.009,"EPIC 205117205, 2MASS J16101473-1919095, WISE J161014.73-191909.6"
K2-34 b,Confirmed,1.78,1.245,2.995633,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J08301891+2214092 b, EPIC 212110888 b, EPIC 212110888.01, TYC 1391-121-1 b, WISE J083018.89+221409.2 b",K2-34,127.578773,22.235909,11.5,,10.528,10.258,,352.34,1.15,1.44,,"2MASS J08301891+2214092, EPIC 212110888, TYC 1391-121-1, WISE J083018.89+221409.2"
K2-36 b,Confirmed,0.01227,0.128,1.422614,,2016,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 201713348 b, 2MASS J11174778+0351590 b, EPIC 201713348.02, TYC 266-622-1 b, WISE J111747.76+035159.2 b",K2-36,169.449066,3.866393,11.8,,10.034,9.549,,110.09,0.79,0.72,1.4,"EPIC 201713348, 2MASS J11174778+0351590, TYC 266-622-1, WISE J111747.76+035159.2"
K2-36 c,Confirmed,0.02454,0.2783,5.3410507,,2016,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 201713348 c, 2MASS J11174778+0351590 c, EPIC 201713348.01, TYC 266-622-1 c, WISE J111747.76+035159.2 c",K2-36,169.449066,3.866393,11.8,,10.034,9.549,,110.09,0.79,0.72,1.4,"EPIC 201713348, 2MASS J11174778+0351590, TYC 266-622-1, WISE J111747.76+035159.2"
K2-38 c,Confirmed,0.03115,0.216,10.56103,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J16000805-2311213 c, EPIC 204221263 c, EPIC 204221263.01, TYC 6779-268-1 c, WISE J160008.01-231121.6 c",K2-38,240.033585,-23.189287,11.4,,9.911,9.6,,193.71,2.24,1.38,,"2MASS J16000805-2311213, EPIC 204221263, TYC 6779-268-1, WISE J160008.01-231121.6"
K2-38 b,Confirmed,0.06,0.17,4.01593,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J16000805-2311213 b, EPIC 204221263 b, EPIC 204221263.02, TYC 6779-268-1 b, WISE J160008.01-231121.6 b",K2-38,240.033585,-23.189287,11.4,,9.911,9.6,,193.71,2.24,1.38,,"2MASS J16000805-2311213, EPIC 204221263, TYC 6779-268-1, WISE J160008.01-231121.6"
K2-39 b,Confirmed,0.09,0.56,4.60543,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J22332842-0901219 b, EPIC 206247743 b, EPIC 206247743.01, TYC 5811-00835-1 b, WISE J223328.38-090122.4 b",K2-39,338.368378,-9.022769,10.83,,9.082,8.594,,310.14,0.66,2.97,3.09,"2MASS J22332842-0901219, EPIC 206247743, TYC 5811-835-1, WISE J223328.38-090122.4"
K2-52 b,Confirmed,0.4046,1.606,3.535055,,2016,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,EPIC 203776696.01,K2-52,246.61142,-24.969948,,,12.729,12.126,,1041.7,1.69,2.19,,"2MASS J16262672-2458119, EPIC 203776696, WISE J162626.73-245811.8"
K2-53 b,Confirmed,0.0289,0.232,12.20772,,2016,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,EPIC 204890128.01,K2-53,244.141815,-20.400534,,,10.306,9.826,,139.1,0.85,0.81,,"2MASS J16163403-2024019, EPIC 204890128, WISE J161634.05-202402.0"
K2-55 b,Confirmed,0.138,0.341,2.849258,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 205924614.01,K2-55,333.751923,-17.250708,13.6,,11.23,10.615,,160.26,0.7,0.63,,"2MASS J22150046-1715025, EPIC 205924614, WISE J221500.44-171502.7"
K2-60 b,Confirmed,0.426,0.683,3.00265,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 206038483.01,K2-60,338.606171,-13.731702,,,11.41,11.085,10.99,498.7,0.97,1.12,10.0,"2MASS 22342548-134351, EPIC 22342548-13435, 2MASS J22342548-1343541, EPIC 206038483, WISE J223425.49-134354.3"
K2-66 b,Confirmed,0.06702,0.222,5.06963,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 206153219.01,K2-66,331.526703,-10.711549,11.71,,10.948,10.664,,520.43,1.11,1.67,,"EPIC 206153219, TYC 5805-449-1, 2MASS J22060640-1042414, WISE J220606.39-104241.5"
K2-79 b,Confirmed,0.0371,0.3649,10.99475,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 210402237.01,K2-79,55.255905,13.519372,,,10.358,9.998,,257.9,1.06,1.28,,"2MASS J03410141+1331098, EPIC 210402237, WISE J034101.42+133109.3"
K2-87 b,Confirmed,0.1192,0.678,9.726618,,2016,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,EPIC 210731500.01,K2-87,66.236221,18.827417,,,11.811,11.359,,503.6,1.16,1.4,,"2MASS J04245669+1849387, EPIC 210731500, WISE J042456.71+184938.6"
K2-90 b,Confirmed,0.028,0.232,13.733314,,2016,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,EPIC 210968143.01,K2-90,59.152405,22.472631,,,11.168,10.495,,134.9,0.63,0.62,,"2MASS J03563656+2228216, EPIC 210968143, WISE J035636.62+222821.0"
K2-95 b,Confirmed,1.67,0.346,10.134016,,2016,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"JS 183 b, EPIC 211916756 b, 2MASS J08372705+1858360, 2MASS J08372705+1858360 b, EPIC 211916756.01, WISE J083727.03+185835.9 b",K2-95,129.362747,18.976685,17.1,,13.312,12.738,,180.63,0.44,0.42,0.8,"EPIC 211916756, JS 183, 2MASS J08372705+1858360, WISE J083727.03+185835.9"
K2-97 b,Confirmed,1.1,0.947,8.406726,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 211351816 b, 2MASS 08310308+1050513 b, 2MASS J08310308+1050513 b, EPIC 211351816.01, WISE J083103.08+105051.2 b",K2-97,127.762833,10.847586,,,10.694,10.177,,869.76,1.2,4.47,7.8,"EPIC 211351816, 2MASS J08310308+1050513, WISE J083103.08+105051.2"
K2-98 b,Confirmed,0.101,0.464,10.136448,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS 08255719+1130402 b, UCAC 508-047859 b, 2MASS J08255719+1130402 b, EPIC 211391664 b, EPIC 211391664.01, WISE J082557.17+113040.0 b",K2-98,126.488289,11.511145,12.166,,11.124,10.905,,526.31,1.2,1.57,5.2,"2MASS 08255719+1130402, K2-98, 2MASS J08255719+1130402, EPIC 211391664, WISE J082557.17+113040.0"
K2-99 b,Confirmed,0.87,1.046,18.24783,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TYC 4974-871 b, 2MASS J13550570-0526330 b, EPIC 212803289 b, EPIC 212803289.01, TYC 4974-871-1 b, WISE J135505.70-052632.9 b",K2-99,208.773743,-5.442466,11.149,,10.024,9.755,,522.29,1.63,2.63,2.4,"TYC 4974-871, 2MASS J13550570-0526330, EPIC 212803289, TYC 4974-871-1, WISE J135505.70-052632.9"
kappa And b,Confirmed,13.0,1.2,215000.0,,2013,1850.0,Published in a refereed paper,Imaging,Spectrum,,kap And b,kappa And,355.1042,44.3339,4.14,0.2,4.6,,,50.0,2.8,2.29,0.047,"HD 222439, HR 8976, HIP 116805, 19 Andromedae, kap And"
KELT-11 b,Confirmed,0.195,1.3,4.736529,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,KELT-11,161.70833335,-9.399166687,8.0,,,,,98.0,1.438,2.72,,HD 93396
KELT-16 b,Confirmed,2.75,1.415,0.9689951,,2016,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit," TYC 2688-1839-1 b,  2MASS J20570443+3139397 b",KELT-16,314.268479168,31.6609916885,11.9,,,,,365.0,1.211,1.36,2.9," TYC 2688-1839-1,  2MASS J20570443+3139397"
KELT-22A b,Confirmed,3.69,1.2,1.38665318,,2018,,Published in a refereed paper,Primary Transit,,Primary Transit,WASP-173A b,Kelt-22A,354.16666668,-34.61138891,11.3,,,,,,1.05,1.11,5.0,"WDS23366-3437, WASP-173A"
